id,name,position,value,club,club_abr,club_prev,country,season,time,goals,assists,own_goal,penalty,penalty_won,penalty_given,penalty_lost,penalty_defended,yellow_card,red_card,points
602,Maciej Malkowski, Pomocnik,"2,20",Sandecja Nowy Sacz,,GKS Belchatow,Polska,2018/19 - wiosna,867,1,4,0,1,0,0,0,0,2,0,47
602,Maciej Malkowski, Pomocnik,"2,20",Sandecja Nowy Sacz,,GKS Belchatow,Polska,2018/19 - jesien,1786,7,6,0,4,0,0,0,0,7,0,124
114,Maciej Manka, Obronca,"2,20",GKS Tychy,,Gornik Zabrze,Polska,2019/20 - wiosna,1121,1,1,0,0,1,0,0,0,3,0,34
114,Maciej Manka, Obronca,"2,20",GKS Tychy,,Gornik Zabrze,Polska,2019/20 - jesien,1695,5,3,0,0,1,1,0,0,4,0,93
114,Maciej Manka, Obronca,"2,20",GKS Tychy,,Gornik Zabrze,Polska,2018/19 - wiosna,804,3,2,0,0,0,0,0,0,1,0,58
114,Maciej Manka, Obronca,"2,20",GKS Tychy,,Gornik Zabrze,Polska,2018/19 - jesien,610,0,0,0,0,0,1,0,0,2,0,36
114,Maciej Manka, Obronca,"2,20",GKS Tychy,,Gornik Zabrze,Polska,2017/18 - wiosna,618,1,0,0,0,0,0,0,0,3,0,45
1216,Damian Michalak, Pomocnik,"0,50",GKS Belchatow,,wychowanek,Polska,2019/20 - wiosna,48,0,0,0,0,0,0,0,0,1,0,0
58,Michal Michalec, Obronca,"1,50",Chrobry Glogow,,Pogon Olesnica,Polska,2019/20 - wiosna,517,1,0,0,0,0,1,0,0,1,0,23
58,Michal Michalec, Obronca,"1,50",Chrobry Glogow,,Pogon Olesnica,Polska,2019/20 - jesien,935,0,0,0,0,0,0,0,0,1,1,24
58,Michal Michalec, Obronca,"1,50",Chrobry Glogow,,Pogon Olesnica,Polska,2018/19 - wiosna,900,1,0,0,0,0,1,0,0,1,0,35
58,Michal Michalec, Obronca,"1,50",Chrobry Glogow,,Pogon Olesnica,Polska,2018/19 - jesien,630,1,0,0,0,0,0,0,0,1,0,31
58,Michal Michalec, Obronca,"1,50",Chrobry Glogow,,Pogon Olesnica,Polska,2017/18 - wiosna,1243,2,0,0,0,0,0,0,0,1,0,39
