id,name,position,club,value,points,status
57,Damian Weglarz,1,3,1.8,0,active
1406,Szymon Wlodarczyk,4,4,0.5,0,active
1513,Yaw Yeboah,3,14,1.9,0,active
1553,Luka Zahovic,4,9,2.1,0,active
1188,Patryk Zaucha,3,1,0.7,0,active
795,Oskar Zawada,4,10,1.6,0,active
391,Damian Zbozien,2,15,1.6,0,active
1311,Przemyslaw Zdybowicz,4,14,1.1,0,active
1250,Benedikt Zech,2,9,2.3,0,active
1507,Lukasz Zjawinski,4,12,1.6,0,active
279,Lukasz Zwolinski,4,5,2.1,0,active
1544,Marcel Zylla,3,11,1.7,0,active
1470,Marcos Alvarez,4,1,1.8,0,active
71,Fedor Cernych,3,3,2.2,0,active
1589,Lukasz Lakomy,3,16,0.7,0,active
723,Igor Lasicki,2,9,1.7,0,active
1455,Aleks Lawniczak,2,13,1.5,0,active
583,Adrian Lyszczarz,3,11,1.4,0,active
1305,Daniel Scislak,3,2,1.6,0,active
700,Jakub Swierczok,4,7,2.7,0,active
1209,Lubomir Satka,2,6,2.1,0,active
1523,Lorenco Simic,2,16,2.1,0,active
412,Pavels Steinbors,1,3,2.0,0,active
1273,Dino Stiglec,2,11,2.1,0,active
531,Jakub Zubrowski,3,16,1.5,0,suspended
1325,Gieorgij Zukow,3,14,1.8,0,active
777,Mateusz Zukowski,4,5,1.0,0,active
1121,Maciej Zurawski,3,13,1.6,0,active
1533,Marcel Zurek,3,10,0.5,0,active
813,Mateusz Zyro,2,12,1.6,0,suspended
1085,Michal Zyro,4,7,1.9,0,active
248,Sasa Zivec,3,16,2.2,0,active
1273,Dino Stiglec,2,11,2.1,0,active
531,Jakub Zubrowski,3,16,1.5,0,suspended
1325,Gieorgij Zukow,3,14,1.8,0,active
777,Mateusz Zukowski,4,5,1.0,0,active
1121,Maciej Zurawski,3,13,1.6,0,active
1533,Marcel Zurek,3,10,0.5,0,active
813,Mateusz Zyro,2,12,1.6,0,suspended
1085,Michal Zyro,4,7,1.9,0,active
